default,Identifier,Remarks,hu,it,es esm
GET OUT THIS PIGSTY!,PG_POSTE_HM4,,SCAPPA VIA DA STO TROIAIO!,FUGGI DA STO TROIAIO!,HUYE DE ESTE FOLLÓN!
,,,,,
WILL YOU MANAGE TO GET TO THE PHARMACY YET?,PG_PERUGIA3_HM1,,GLIELA FARAI A GI' N FARMACIA FINALMENTE?,RIUSCIRAI AD ANDARE IN FARMACIA FINALMENTE?,PODRÁS IRTE A LA FARMACIA POR FÍN?
"HEY THE PAM SUPERSTORE IS OPEN, BLOODY LUCKY!",PG_PERUGIA3_HM2,,OH C'E' L PAM APERTO CHE CULO!,"OH C'E' IL PAM APERTO, CHE CULO!","HOSTIAS ESTÁ EL SUPERMERCADO ABIERTO, MENUDA SUERTE!"
YOU MUST HAVE BREAKFAST BEFORE!,PG_PERUGIA3_HM3,,PASSA A FA' COLAZIONE PRIMA!,FAI COLAZIONE PRIMA!,DESAYUNA ANTES!
- GO TO THE PAM SUPERSTORE BEFORE CLOSING TIME,PG_PERUGIA3_HM4,,- PASSA AL PAM PRIMA CHE CHIUDE.,- PASSA AL PAM PRIMA CHE CHIUDA.,- PASA AL SUPERMERCADO ANTES DE QUE CIERRE.
- HAVE BREAKFAST WITH A GIN CAMPARI AND A HOT POCKETS.,PG_PERUGIA3_HM5,,- FAI COLAZIONE CO N CAMPARI COL GIN E N FAGOTTO.,- FAI COLAZIONE CON UN CAMPARI COL GIN UN FAGOTTO!,"- DESAYUNA CON CAMPARI, GINEBRA, Y UN BOLLO SALADO!"
YOU MUST FIRST GO TO THE SUPERSTORE AND HAVE BREAKFAST!,PG_PERUGIA3_HM6,,VA' AL SUPERMERCATO E FA' COLAZIONE PRIMA!,VA' AL SUPERMERCATO E FAI COLAZIONE PRIMA!,VETE AL SUPERMERCADO Y DESAYUNA ANTES!
- GET TO THE PAM SUPERSTORE AND TAKE A GIN CAMPARI AND A HOT POCKETS.,PG_PERUGIA3_HM7,,- PASSA AL PAM E PIGLIA N CAMPARI COL GIN E N FAGOTTO.,- PASSA AL PAM A PRENDERE UN CAMPARI COL GIN E UN FAGOTTO,"- PASATE AL SUPERMERCADO A COMPRAR CAMPARI, GINEBRA, Y UN BOLLO SALADO"
- EAT SOMETHING BEFORE YOU COLLAPSE.,PG_PERUGIA3_HM8,,- MAGNA QUALCOSA SINNO' CADI PER TERRA.,- MANGIA QUALCOSA SENNO' CADI PER TERRA!,- COME ALGO O TE CAES AL SUELO!
,,,,,
FINALLY YOU MADE IT!,PG_FARMACIA_HM1,,FINALMENTE GLIEL'E' FATTA!,FINALMENTE CE L'HAI FATTA!,POR FÍN LO HAS CONSEGUIDO!
- GO TALK TO THE DOCTOR AND HEAL YOUR HEMORRHOIDS,PG_FARMACIA_HM2,,- VA' A PARLA' COL DOTTORE E CURATE LE EMORROIDI.,- PARLA COL DOTTORE E FATTI CURARE LE MOROIDI,- HABLA CON EL MEDICO Y HAZTE CURAR LAS HEMORROIDES
HEMORRHOIDS HEALED!,PG_FARMACIA_HM3,,EMORROIDI GUARITE!,EMORROIDI GUARITE!,HEMORROIDES CURADAS!
,,,,,
"FUCK, IT'S CHRISTMAS!",PG_PERUGIA4_HM1,,CHE SEGA E' NATALE!,CHE SEGA E' NATALE!,QUE COÑAZO ES NAVIDAD!
TAKE A TOUR OF THE MARKET STANDS AND BUY SOME KNOCKOFF STUFF,PG_PERUGIA4_HM2,,FATTE N GIRO TA I MERCATINI E COMPRA DU STRONZATE!,FAI UN GIRO AI MERCATINI DI NATALE E COMPRA QUATTRO CAZZATE!,DATE UNA VUELTA POR EL MERCADILLO DE NAVIDAD Y COMPRA CUATRO TONTERÍAS!
STEAL THE SHUTTLE TO GET THE FUCK OUT OF HERE,PG_PERUGIA4_HM3,,INCULA LO SHUTTLE E VOLA VIA DAI COGLIONI!,RUBA LO SHUTTLE PER VOLARE FUORI DAI COGLIONI,ROBA EL SHUTTLE PARA VOLAR A TOMAR POR CULO
MERRY CHRISTMAS!,PG_PERUGIA4_HM4,,BON NATALE!,BUON NATALE!,FELIZ NAVIDAD!
- TAKE A TOUR AROUND THE UGLY CHRISTMAS MARKET STANDS,PG_PERUGIA4_HM5,,- FATTE N GIRO AI MERCATINI BRUTTI DI NATALE,- VISITA I MERCATINI BRUTTI DI NATALE,- VISITA EL MERCADILLO FEO DE NAVIDAD
- STEAL THE SHUTTLE PARKED AT CARDUCCI'S GARDENS,PG_PERUGIA4_HM6,,- INCULA LO SHUTTLE AI GIARDINI CARDUCCI,- RUBA LO SHUTTLE PARCHEGGIATO AI GIARDINI CARDUCCI,- ROBA EL SHUTTLE APARCADO EN LOS JARDINES CARDUCCI
TO DRIVE THE SHUTTLE AND GET THE FUCK OFF YOU NEED POWER!,PG_PERUGIA4_HM7,,PER GUIDA' LO SHUTTLE E CAVATTE DAI COGLIONI CE VOLE LA CORRENTE!,PER GUIDARE LO SHUTTLE E VOLARE FUORI DAI COGLIONI SERVE LA CORRENTE!,PARA CONDUCIR EL SHUTTLE Y VOLAR A TOMAR POR CULO SIRVE LA CORRIENTE!
- PLUG IN THE ENERGY FOR THE SHUTTLE AND FLY THE FUCK AWAY,PG_PERUGIA4_HM8,,- ATACCA LA CORRENTE TA LO SHUTTLE E VOLA FORI DAI COGLIONI,- ATTACCA LA CORRENTE ALLO SHUTTLE E VOLA FUORI DAI COGLIONI,- CONECTE LA ALIMENTACIÓN A LA LANZADERA Y SALGA VOLANDO DE LAS BOLAS
,,,,,
PRESS ENTER TO CHANGE SONGS,PG_RADIO_TEXT,,PIGIA INVIO PER CAMBIA' LE CANZONI!,PREMI INVIO PER CAMBIARE LE CANZONI,PRESIONA ENVÍO PARA CAMBIAR LAS CANCIONES
,,,,,
LOADING,PG_LDCASA_NAME,,CARICAMENTO CASA,,
YOUR HOME,PG_CASA_NAME,,CASA TUA,CASA TUA,TU CASA
GODDAMN IT IN PERUGIA 2,PG_PERUGIA_NAME,,PORCODIO A PERUGIA 2,PORCODIO A PERUGIA 2,MECAGOENDIOS A PERUGIA 2
BREAKFAST AT SILVESTRINI HOSPITAL,PG_OSP01_NAME,,COLAZIONE AL SILVESTRINI,COLAZIONE AL SILVESTRINI,DESAYUNO AL SILVESTRINI
VANNUCCI AVENUE,PG_PERUGIA2_NAME,,CORSO VANNUCCI,CORSO VANNUCCI,AVENIDA VANNUCCI
MATTEOTTI SQUARE POST OFFICE,PG_POSTE_NAME,,LE POSTE N PIAZZA MATTEOTTI,UFFICIO POSTALE PIAZZA MATTEOTTI,OFICINA DE CORREOS PLAZA MATTEOTTI
MATTEOTTI SQUARE,PG_PERUGIA3_NAME,,PIAZZA MATTEOTTI,PIAZZA MATTEOTTI,PLAZA MATTEOTTI
PHARMACY,PG_FARMACIA_NAME,,FARMACIA,FARMACIA,FARMACIA
A MAGIC CHRISTMAS 2,PG_PERUGIA4_NAME,,UN MAGICO NATALE 2,UN MAGICO NATALE 2,UNA MAGICA NAVIDAD 2
