default,Identifier,Remarks,hu,it,es esm
\cfPRESS \cgF \cfIF YOU CAN'T SEE SHIT!,ST_SPA01_HM15,,\cfPIGIA \cgF \cfSE NN VEDI N CAZZO!,\cfPREMI \cgF \cfSE NON VEDI UN CAZZO!,\cfPRESIONA \cgF \cfSI NO VEES UN CARAJO!
,,,,,
\cd A ROCKET LAUNCHER \n APPEARED \n \cg ON THE ALTAR!,ST_FOG02_HM1,,\cd E' COMPARSO N \n LANCIAMISSILI \n \cg TA L'ALTARE!,\cd E' COMPARSO UN \n LANCIAMISSILI \n \cg SULL'ALTARE!,\cd HA APARECIDO UN \n LANZACOHETES \n \cg SOBRE EL ALTAR!
- SHOOT ROBOJESUS TILL HE'S DEAD.,ST_FOG02_HM2,,- SPARA TA ROBOJESUS FINCHE NN MORE!,- SPARA A ROBOJESUS FINCHE' NON MUORE.,- DISPARA A ROBOJESUS HASTA QUE NO MUERE.
- (HE IS VULNERABLE ONLY WHEN HE IS NOT SHOOTING AT YOU),ST_FOG02_HM3,,- (E' VULNERABILE SOLO QUANDO NON TE SPARA.),- (E' VULNERABILE SOLO QUANDO NON TI SPARA),- (ES VULNERABLE SOLO CUANDO NO TE DISPARA)
YOU NEED A VIP RED CARD,ST_FOG02_HM4,,TE SERVE NA TESSERA VIP ROSSA,TI SERVE UNA TESSERA VIP ROSSA,NECESITAS TARJETA VIP ROJA
YOU NEED A VIP BLUE CARD,ST_FOG02_HM5,,TE SERVE NA TESSERA VIP BLU,TI SERVE UNA TESSERA VIP BLU,NECESITAS TARJETA VIP AZUL
,,,,,
THIS LEVEL IS MASSIVE!,ST_SPA02_HM1,,N COLPO QUANT E' GROSSO STO LIVELLO!,STO LIVELLO E' GIGANTE!,ESTE NIVEL ES GIGANTE!
THAT'S WHY THE GAME STUTTERS!,ST_SPA02_HM2,,NFATTI VA TUTTO A SCATTI!,INFATTI VA TUTTO A SCATTI!,DE HECHO VA TODO A TROMPICONES!
TURN OFF THE POWER OF THE TWO TOWERS,ST_SPA02_HM3,,STACCA LA CORRENTE TA LE DU TORRI!,STACCA LA CORRENTE ALLE DUE TORRI,QUITA LA ELECTRICIDAD A LAS DOS TORRES
I'VE HAD ENOUGH OF SPACE!,ST_SPA02_HM4,,LO SPAZIO HA ROTTO L CAZZO!,LO SPAZIO HA ROTTO IL CAZZO!,EL ESPACIO HA REVENTADO LOS COJONES!
- TURN OFF THE POWER OF THE TWO TOWERS,ST_SPA02_HM5,,- STACCA LA CORRENTE TA LE DU TORRI,- STACCA LA CORRENTE ALLE DUE TORRI,- QUITA LA CORRIENTE A LAS DOS TORRES
- MAKE THIS SPACESHIP CRASH ON EARTH!,ST_SPA02_HM6,,- FA' SCHIANTA' ST ASTRONAVE TA LA TERRA!,- FAI SCHIANTARE ST'ASTRONAVE SULLA TERRA!,- ESTRELLA LA PUTA NAVE SOBRE LA TIERRA!
RUN AWAY!,ST_SPA02_HM7,,SCAPPA!,SCAPPA!,ESCAPA!
,,,,,
IT'S IMPOSSIBLE TO DRIVE THIS SHITTY SPACESHIP!,ST_SPAZIO_HM1,,STA NAVE SPAZIALE SE GUIDA DE MMERDA!,STA NAVE SPAZIALE SI GUIDA DI MERDA!,- ESTA NAVE ESPACIAL SE MANEJA DEL CULO!
- LEARN TO DRIVE THE SHUTTLE WITHOUT CRASHING ON EVERY WALL KNOWN TO MANKIND.,ST_SPAZIO_HM2,,- IMPARA A GUIDA' LA NAVE SPAZIALE SENZA GI' A SBATTE TA TUTTI I MURI,- IMPARA A GUIDARE LO SHUTTLE SENZA SBATTERE SU TUTTI I MURI.,- APRENDE A CONDUCIR EL SHUTTLE SIN DAR CONTRA LAS PAREDES.
- TRY NOT TO THROW UP,ST_SPAZIO_HM3,,- CERCA DE NON ARCACCIA'!,- CERCA DI NON VOMITARE,- TRATA DE NO VOMITAR
BLOW UP THE TWO REACTORS\nAND THEN RUN AWAY!,ST_SPAZIO_HM4,,FAI SCHIOPPARE I DUE REATTORI\nE POI CAVETE DAI COGLIONI!,FAI ESPLODERE I DUE REATTORI \nE POI SCAPPA!,HAZ ESTALLAR LOS DOS REACTORES\nY LUEGO ESCAPA!
,,,,,
CAN YOU HEAR HOW LOUD IS THIS BUZZING BITCH?!,ST_ARENASPA_HM1,,SENTE COME RONZA STA TROIA!,SENTI COME RONZA STA TROIA!,OYE QUE ZUMBIDO HACE ESTA ZORRA!
KILL THE VIRGIN MARY BITCH WASP!,ST_ARENASPA_HM2,,AMMAZZA LA MADONNA VESPA!,AMMAZZA LA MADONNA VESPA!,MATA LA VIRGEN ABISPA!
,,,,,
DAMN IT YOU CRASHED AND YOU'RE BACK TO PREHISTORIC TIMES!,ST_CAV01_HM1,,CHE SEGA TE SEI SCHIANTETO NELLA PREISTORIA!,CHE SEGA TI SEI SCHIANTATO NELLA PREISTORIA!,QUE COÑAZO TE HAS ESTRELLADO EN LA PREHISTORIA!
- FIND A BUS TO GET BACK HOME,ST_CAV01_HM2,,- CERCA N PULMAN PER ARGI' A CHESA.,- CERCA UN PULMAN PER TORNARE A CASA,- BUSCA UN AUTOBÚS PARA VOLVER A CASA
,,,,,
KILL MOTHER T-REXA!,ST_DIN04_HM1,,AMAZZA TA MADRE T-REXA!,UCCIDI MADRE T-REXA!,MATA MADRE T-REXA!
IS THIS PLEISTOCENE OR THE INTERSTATE SALERNO-REGGIO CALABRIA?,ST_DIN04_HM2,,E' L PLEISTOCENE O LA SALERNO REGGIO CALABRIA?,E' IL PLEISTOCENE O LA SALERNO-REGGIO CALABRIA?,ES EL PLEISTOCENO O LA PUTA AUTOVÍA PALERMO-REGGIO CALABRIA?
TAKE A TRIP TO THE TRICERATOPS' VILLAGE\nAND LOOK AT SOME NICE ASSES,ST_DIN04_HM3,,FATTE N GIRO TAL VILLAGGIO DELLE TRICERATOPE\nE GUARDA UN PO' DE CULI!,FAI UN GIRO AL VILLAGGIO DELLE TRICERATOPE\nE GUARDA UN PO' DI CULI,DATE UNA VUELTA A LA ALDEA DE LAS TRICERATOPAS\nY MIRA ALGUN CULO
GO GET AN ICED RUSTICHELLA AND THE CHOLERA\nFROM THE MOTORWAY CAFE',ST_DIN04_HM4,,O PASSA A PIA' NA RUSTICHELLA GHIACCIATA\nE L COLERA AL AUTOGRILL,PASSA A PRENDERE UNA RUSTICHELLA GHIACCIATA\nE IL COLERA ALL'AUTOGRILL,VES A POR BOCATA FRIO Y EL COLERA\nEN EL AREA DE SERVICIO
(GIVE IT TWENTY SEVEN EUROS AS WELL),ST_DIN04_HM5,,(spendece anche 27 euri),(SPENDICI ANCHE VENTISETTE EURO),(GASTATE TAMBIEN VEINTISIETE EUROS)
DID YOU LOSE YOURSELF IN THE JUNGLE! NOW YOUR ASS IS ON THE LINE!,ST_DIN04_HM6,,TE SEI SPERSO TA LA GIUNGLA! CAZZI TUI ADE'!,TI SEI PERSO NELLA GIUNGLA! SON CAZZI TUOI ADESSO!,TE HAS PERDIDO EN LA JUNGLA! ES TU PUTO PROBLEMA AHORA!
- GET OUT FROM THIS CUM DRIPPING CAVE,ST_DIN04_HM7,,- SCAPPA FORI DA STA GROTTA DE MERDA,- ESCI DA STA GROTTA DI MERDA,- SAL DE ESTA CUEVA DE MIERDA
- TRY TO GET BACK HOME,ST_DIN04_HM8,,- CERCA DE ARGI' A CHESA,- CERCA DI TORNARE A CASA,- TRATA DE VOLVER A CASA
- SAVE SCIENTISTS OR FORGET ABOUT IT!,ST_DIN04_HM9,,- SALVA GLI SCIENZIATI O SBATTITENE IL CAZZO!,- SALVA GLI SCIENZIATI E SBATTITENE IL CAZZO!,- SALVA A LOS CIENTIFICOS Y A TOMAR POR CULO!
,,,,,
THIS TOOL DOES NOT WORK!\nYOU NEED A BATTERY,ST_DINOLAND_HM1,,ST'ATTREZZO NON FUNZIONA!\nTE SERVE NA BATTERIA.,ST'ATTREZZO NON FUNZIONA!\nTI SERVE NA BATTERIA.,ESTE TRASTO NO FUNCIONA!\nNECESITAS UNA BATERIA.
,,,,,
YOU NEED THE TICKET \n TO GET IN \n GIGIONE'S GIG!,ST_BUS05_HM1,,CE VOLE L' BIGLIETTO \n PER GI' A VEDE' TA \n GIGIONE,CI VUOLE IL BIGLIETTO \n PER ENTRARE \n AL CONCERTO DI GIGIONE!,NECESITAS TICKET \n PARA ENTRAR \n AL CONCIERTO DE GIGIONE!
STOP THE MINIBUS\nBEFORE CRASHING!,ST_BUS05_HM2,,FERMA L' PULMINO \n PRIMA DE GI' A SBATTE,FERMA IL PULMINO\n PRIMA DI ANDARE A SBATTERE!,PARA EL BUS ANTES DE EMPOTRARTE!
,,,,,
DO YOU WANT TO GET IN THE INDIPENDENCE GAY DAY?,ST_ASS01_HM1,,VUOI ENTRARE ALL' \n INDIPENDENCE GAY DAY?,VUOI ENTRARE ALL INDIPENDENCE GAY DAY?,QUIERES ENTRAR AL INDEPENDENCE GAY DAY?
YOU MUST HAVE CASHI!,ST_ASS01_HM2,,CE VOGLIONO I SOLDI!,CI VOGLIONO I SOLDI!,NECESITAS DINERO!
- PROTECT GAYS OR KILL COPS,ST_ASS01_HM3,,- DIFENDI I GAY O AMMAZZA GLI SBIRRI,- DIFENDI I GAY O AMMAZZA GLI SBIRRI,DEFIENDE LOS GAYS O MATA A LA PASMA
- WHAT DO YOU CARE? IT DOESN'T MATTER ANYWAY!,ST_ASS01_HM4,,"- CHE TE FREGA, TANTO E' UGUALE","- CHE TE FREGA, TANTO E' UGUALE!","- QUE MÁS TE DA, TOTAL ES IGUAL!"
,,,,,
THE OLD TESTAMENT JUST APPEARED ON THE ALTAR,ST_END00_HM1,,- L'ANTIC TESTAMENTO E' COMPARSO TA L'ALTARE,L'ANTICO TESTAMENTO E' APPARSO SULL'ALTARE,EL ANTIGUO TESTAMENTO HA APARECIDO SOBRE EL ALTAR
,,,,,
HOSPICE ODYSSEY 2,ST_FOG02_NAME,,ODISSEA NELLO SPIZIO 2,ODISSEA NELLO SPIZIO 2,ODISEA EN EL OSPICIO 2
THE ROOM IN WHICH JESUS CHRIST BECOMES THE SYPHILITIC ABORTED REMAINS OF A CHRISTIAN GANGBANG,ST_FOG02B_NAME,,LA STANZA DELLA DIOMAIALITA',LA STANZA DELLA DIOMAIALITA',LA HABITACIÓN DE LA CERDODIOSIDAD
YOUTHNESS YOUTHNESS LOLOLLO',ST_FOG02END_NAME,,GIOVINEZZA GIOVINEZZA LOLOLLO',GIOVINEZZA GIOVINEZZA LOLOLLO',JUVENTUD JUVENTUD LERELLELÉ
STILL IN SPACE  PORCAMADONNA,ST_SPAIN_NAME,,ANCORA NELLO SPAZIO PORCAMADONNA,ANCORA NELLO SPAZIO PORCAMADONNA,OTRA VEZ EN EL ESPACIO VIRGENPUTA
BABYLON 2027,ST_SPA02_NAME,,BABILONIA 2027,BABILONIA 2027,BABILONIA 2027
PREHISTORIC TIMES ARE AS BORING AS A TURTLE GIVING A HANDJOB TO A SLOTH,ST_CAV01_NAME,,CHE SEGA LA PREISTORIA,CHE SEGA LA PREISTORIA,QUE COÑAZO LA PREHISTORIA
INDEPENDENCE GAY DAY,ST_ASS01_NAME,,INDEPENDENCE GAY DAY,INDEPENDENCE GAY DAY,INDEPENDENCE GAY DAY
END OF YOU JOURNEYSH,ST_END00_NAME,,FINE DEL VIAGGIOH,FINE DEL VIAGGIOH,FINAL DEL VIAJEEE
THE YEAR TO COME,ST_CAP01_NAME,,L'ANNO CHE VERRA',L'ANNO CHE VERRA',EL AÑO QUE VENDRÁ
